TO,NV,SU,DI,VL,HH,SH,NN,GD
4,5,3.5,6,,,,2.4,7.25
2.2,3.75,4.5,6,,,,,
2.4,6,7,6.5,,,,2,8
5,5,5,6,,,,4.6,7.25
3.4,6.5,7.75,6.75,,,,3.8,8
6.2,6.25,6,6,,,,3.6,7.5
4.6,7,6,5,,,,1.4,8.25
3.8,4.25,5.5,6,,,,,
6.8,8,,,6.25,,5,4.6,
8.6,7.5,,,7.25,,4.5,6,
5.4,5.5,4,4.25,,,,3.4,6.75
7.2,8,,,3.75,,7.5,3.2,
6.6,6,3.75,5.25,,,,6.8,8
6,6.25,,,2.5,,5,3.6,
8.8,7,,,7.25,,7.5,5.2,
,,,,,,,,
,,,,,,,,
7,7.75,5.75,7,,,,6.4,9.75
4.8,5.25,6.75,5.25,,,,,
6.2,8.25,8.5,8.75,,,,4.6,9.75
5.4,4,6.5,6.5,,,,,
7.6,8,,,4.75,,3.5,5.4,
7.8,8,9,8.75,,,,4,9.25
6.2,8.5,8.5,8.5,,,,5.2,9
6.8,8,9.5,9.5,,,,6.4,9.5
3,5,8.25,7.5,,,,,
5.2,8,7.75,6.25,,,,3.8,7.75
3,1.75,4.5,4,,,,,
2,2,4.5,4.75,,,,,
3.8,5,5.5,6.75,,,,5.8,7.75
5.4,4,5.5,5.75,,,,3,7.25
2.6,3.25,5.25,5.25,,,,,
2.4,3.5,4.5,4.25,,,,,
7.4,6.75,,,7.75,,5.5,7.2,
4.8,3.25,3.75,6,,,,,
3,1.25,3.75,6,,,,,
3.8,5.5,7.75,7.5,,,,3.8,8.5
3.2,3.5,5,3.5,,,,,
3,4.25,4,6,,,,,
7,7.5,9.5,7.25,,,,7.4,8.75
7.2,8,8.5,8.5,,,,6.4,9.25
7.8,6.5,8,8.5,,,,7.6,7.75
4.8,2.75,4.75,5.75,,,,,
2.4,3.5,6,6.5,,,,,
4,7,7.75,6.75,,,,4.8,8
3.8,2.75,5.5,3.75,,,,,
3.4,6.25,6.25,6.75,,,,,
3.2,3.75,3.25,4.75,,,,3.2,7.75
7,6,,,3.75,,3.75,3.4,
4,5.75,3.75,6.5,,,,3.4,6.25
6.8,5.25,4,4.5,,,,5.8,6.5
4.6,6.25,6.75,6.75,,,,2.8,8.5
4,5.25,5,6.5,,,,2,8.75
3.4,5,6.5,7,,,,3,8.75
1.8,3,4.25,4.25,,,,,
2.6,4,6.25,5.25,,,,,
7.8,5.75,,,8,,4,5,
5,7.75,8.75,7,,,,5.8,8.5
7.8,7.75,8,8.25,,,,6.6,9.25
5,5.25,7,6,,,,3.2,8
6.4,5.75,8,8,,,,2.6,8
3.8,5.75,5.75,4.5,,,,,
3.6,3.25,2.75,5.5,,,,,
4.2,4.25,7,5.25,,,,,
1.4,3.5,3.5,5.75,,,,,
5.4,5,,,3.75,,3,2.2,
3,4,5,4.75,,,,,
7.8,8.25,8.25,7.5,,,,5.2,8.5
7.6,7,,,8,,5.75,5.8,
5.6,7.25,7.5,6.5,,,,7.4,7.75
8.2,7,,,6.75,,4.5,5.2,
4.8,4.5,5.5,6.5,,,,4.8,6.75
4.8,7.75,7.5,6,,,,4.4,8.75
6,5,4.25,7,,,,6.2,8
2.6,4.75,5.25,5.5,,,,,
6.6,7.25,8.25,7.75,,,,8.8,9.25
7,8.25,6.25,7.75,,,,4,8.5
4.2,4,6,6.5,,,,,
8,6.25,,,9,,5,8.4,
7.8,6.25,,,8,,6.25,4.8,
6.6,7.5,8.25,8.75,,,,5.2,9.25
4.8,5,4,7,,,,3.8,7.75
6.6,6.75,3.75,6,,,,3.8,7.5
8.8,7.5,,,8.75,,8,6.8,
7.4,6,,,4.75,,5,5.8,
5.4,4.25,6,5.25,,,,3.2,7
6.4,7,7.5,8.5,,,,5,9.25
4.8,3.75,5.75,4.75,,,,,
4.6,7,6.25,6.75,,,,5,8
8.6,6.75,,,8.25,,3.75,5.6,
7.2,6.75,7.5,6.5,,,,4.4,8.75
8.4,7.25,,,9,,6.25,3.8,
3,4.5,5.25,5.5,,,,,
9,6,,,6.5,,7.75,4.8,
7.2,8.25,7,6.5,,,,,8.5
7.8,8.25,9.25,6.5,,,,6.2,9.25
7.2,7.5,7.25,7,,,,7.6,9
4.2,4.25,4.25,6.5,,,,1.8,7.25
7.8,5,,,4.75,,6.5,5.6,
8.4,7.75,,,7.75,,5.5,5,
3.4,2,2.75,4.25,,,,2.6,6
7.6,7.5,,,7.25,,6.75,5,
4.6,2.75,8.25,6.25,,,,,
2.8,5,6.25,7,,,,,
5.8,6.5,5.5,6.75,,,,3.2,7.75
8,4.25,7.75,7.25,,,,3.6,9.25
3.2,3.25,4.75,4.75,,,,,
7.6,7,,,6.75,,6,6,
4.2,6,6.5,5.75,,,,2.4,8.25
5.2,5,7.5,6.5,,,,,
8.4,7.75,,,8.25,,6.75,7.6,
6,7.75,8.75,7.5,,,,4.8,9.25
4.8,7.75,9.75,8.25,,,,4.2,9.25
4,6.5,5.75,4.5,,,,2.8,7.5
3.8,3.25,2.75,6.75,,,,,
5.2,4,6.25,5.25,,,,3.4,7.75
6,5.75,6,7,,,,,
4.6,3,3.5,5.75,,,,,
3.8,2.5,7.25,7.5,,,,,
6.2,3.5,6.75,7,,,,3.6,7.25
5.6,5.75,4.25,7.5,,,,4.4,8.25
8,7.75,,,8,,4.25,4.2,
7.6,6.5,,,6.25,,7.5,4.2,
5.8,8,8,6.25,,,,3.8,8
,,,,,,,,
7.8,5.5,7.25,6,,,,7.8,8.5
3.4,3.5,6.75,6.75,,,,,
7.2,7.75,8.5,8.25,,,,5.2,9.25
7.4,6.75,6.25,8,,,,2.8,7.5
3.4,6.25,4.25,4.75,,,,2.2,8.25
4.4,8,6,8.25,,,,,
8.4,7.25,,,9.5,,8.75,7,
6.4,6.5,8.25,7.5,,,,4.8,9
7.4,7.5,,,7.25,,4,5.8,
8.2,7.75,,,7.25,,6.5,8.6,
8.2,6.5,,,5.75,,5.75,5.8,
3.6,5.5,6.75,6.5,,,,,
5,6.25,6,6.25,,,,4,9.5
4.2,5.75,6.75,5.75,,,,,
3.8,5,2.5,2,,,,,
2,4.25,4.25,4.5,,,,,
6,8,6.25,8.25,,,,4.2,9.25
4.8,6,5.25,7,,,,2.8,8
6.6,7,7.5,6.75,,,,3,7.75
6.6,7,4,6,,,,4.4,8.5
6,8,7.5,7.75,,,,5.4,9.25
8.2,7,6,6.75,,,,8,9.5
4,2.5,5,6.75,,,,,
7.8,7.75,,,4.5,,7.75,3.4,
2,1.25,4.25,4.25,,,,,
7.6,7,,,4.25,,5.75,4.4,
8.6,7,,,7.25,,5.75,3.6,
2,2.25,5,5,,,,,
7.2,6.25,8.25,6.25,,,,3.2,8.5
4.6,5,5.75,6.75,,,,2.4,7.25
5.8,6.5,7.25,6.75,,,,5.8,8.25
8,8.75,10,9,,,,4.8,9.75
3.2,1.25,4.25,4,,,,,
6,7.25,5.5,6.25,,,,3.2,7.5
7,6.25,5.5,7.25,,,,7.2,8.75
6.6,7.5,7.75,7,,,,3.2,8.5
6.6,8.5,8.25,8.25,,,,4.4,8.25
5.6,6.5,9,8.5,,,,4.6,8.75
7.4,7.75,,,6.5,,6.5,4.8,
3,3.5,2.5,6,,,,,
8,8.25,8.75,8.25,,,,9.6,9.5
2.2,6.25,6,4.5,,,,,
3.6,7,8.5,7.75,,,,3.8,6.75
3.2,6.5,4.5,4.75,,,,3.4,7
3.2,3.25,4,4.5,,,,,
3.2,5,5.25,5.5,,,,,
3.4,4,5,5.75,,,,,
6,8.5,7.25,8.25,,,,5.6,8
5.4,8,6.75,7.25,,,,4.8,8.5
4,5.5,3,3.5,,,,,
7.4,5.5,,,8.75,,4.5,3.8,
2.2,3,6,5.5,,,,,
,,,,,,,,
9.2,6.25,,,8.5,,6.25,5.4,
5,6,6.5,6.5,,,,4,7.25
5.8,5.5,6,7.75,,,,4,8.75
8,5,,,7.5,,4.75,5.6,
5.6,6.25,4.5,5.75,,,,6.8,6.5
6.8,5.75,,,6.25,,3.5,4.4,
8.4,5.75,,,6,,3.25,4.6,
5.8,6.25,6.25,6,,,,3.8,7.75
4.8,5,4,5,,,,3.2,6.5
7.8,6.75,,,7.5,,6.5,4,
9.2,7.5,8.75,8.75,,,,9.6,9.25
7.2,8,5.75,5.75,,,,4.8,8.25
3.4,4.25,4.75,4.25,,,,,
5.6,4.5,5.25,6.25,,,,,
8.6,7.75,8.5,8.75,,,,9.2,9.5
4.2,5.75,5.25,7,,,,4.6,7.25
8.2,7,,,8.5,,6.25,5,
5.8,8.5,8.25,8.5,,,,4.8,9.25
7.8,7.5,4.5,6.5,,,,3.6,7.5
6.4,4.25,4.75,6.25,,,,2.4,7.25
4.8,3,4.25,4.25,,,,,
5.4,6.25,7.5,7.75,,,,3.4,7.5
8.2,8.25,9.75,9.25,,,,3.6,9
4.8,3.5,7.75,7.25,,,,,
6.8,4.5,,,6.75,,5,6,
,,,,,,,,
6.8,5.5,,,7.75,,3,8.4,
7,8,7.75,6.25,,,,6.4,9.25
3.2,5.5,4.5,5.25,,,,,
7.6,8.25,5.75,5.25,,,,2.8,8.5
6.4,6,,,8,,6,4.2,
2.6,3.75,5,5.5,,,,,
3.8,6.25,6,6.5,,,,,
5.8,6.5,6.25,7.25,,,,6.2,9.5
2.6,2,2.25,3.25,,,,,
,,,,,,,,
3.6,7.75,8,7.25,,,,2.8,7.75
3.2,5.75,2,5,,,,,
2.8,5.75,4,7,,,,3.6,7.25
5,6.25,7.25,6.75,,,,5.2,7.75
1.8,2,2.5,3.75,,,,,
7.2,6.5,,,6.75,,3.75,6.4,
8.4,7,,,8.25,,4,6.2,
5.2,6.5,2.75,5.5,,,,3.4,7
8.8,7.25,8.75,7,,,,6.4,9
5.8,6.75,6,6.25,,,,4.8,8
4.4,5.25,6.25,6.75,,,,3.8,8.75
6.8,6.5,,,5,,4,3.6,
3.8,6.25,6.75,5.5,,,,7.4,8.5
4.2,5,4,5,,,,4.8,6.25
5.8,4.5,,,4.5,,5.5,5.6,
4.2,6.5,4,6.25,,,,4.6,7.5
7,8.25,8.75,8.75,,,,5.6,9
6,8.5,5.75,6.5,,,,8,8.25
5.4,6.25,6.25,4,,,,,
6,4.5,6.25,5,,,,4.2,9
5.6,5.25,5.25,4.25,,,,2,8
9.2,7.25,,,8.5,,6.75,6.8,
8.4,6.5,,,7.75,,5.75,9.2,
2.2,5.25,3.75,5.25,,,,2.8,7.25
,7,7.75,7.5,,,,,7.75
,,,,,,,,
6.2,7.5,6.25,7,,,,3.8,8.25
5,8,7.5,8,,,,6,9.5
7.2,8.5,9.25,7,,,,4.2,8.75
7.4,8.75,5.25,7,,,,8.4,9.25
6.2,7.75,8.25,7,,,,3.2,9.25
7,7.75,5.25,6.25,,,,7.6,8.75
8.4,7.5,,,8.5,,6.75,7,
6.2,7,,,6.75,,3.75,9,
3.6,6.5,6.5,4.75,,,,2.6,7.75
3.2,4.25,7,6.25,,,,,
2.8,5,5,4.25,,,,,
4.8,7.25,5,6,,,,2.8,7
7.2,8.5,9,7.75,,,,6.4,9
2.8,1.5,3.75,5.5,,,,,
8.2,8.25,,,6.5,,7,6.6,
4.6,7,8.5,6.75,,,,5.2,9.25
6.6,8.75,9,7,,,,4,9.75
4.4,3.5,6.5,5.5,,,,,
7,6.25,,,6,,4.25,3.8,
3.8,6.5,5.75,6.75,,,,4.2,8.5
7.6,8.75,8.25,7.25,,,,5.2,9.5
5.4,5,6.75,5.25,,,,,
4.8,8.75,8,7.75,,,,,9
3.4,5.25,6,4.5,,,,4,6.75
7.6,8.75,7.5,8.5,,,,4.8,9.5
6.2,7,6.75,5.5,,,,9,8.25
7.2,7,9.5,8.5,,,,6.4,9.5
6.8,8.5,6.5,5.25,,,,4,8
8.8,6.5,,,8.75,,5.5,5,
8.2,8,,,7.75,,8,7,
7.4,2.75,,,7,,3.5,4.4,
7.6,8.75,8.25,7.75,,,,7.2,8.5
6.4,6.75,8.5,7,,,,5.2,9.25
8.8,6.75,,,7.25,,5.75,5.2,
5.8,8,6.25,8,,,,3.4,8
5.8,5.75,,,4.5,,4,2.4,
2.8,2.5,2.75,5.25,,,,,
3,4.5,3.25,5.75,,,,,
7.6,8.5,9.75,7.75,,,,8.6,8.5
7.6,8,6.75,8.25,,,,5,9
3.8,5.25,5,6.25,,,,,
8.4,7.5,,,7.5,,7,5,
8.2,8.75,,,7.25,,8.75,5,
8,8,5.75,8.25,,,,5.2,8.25
3.6,5,5.75,6.5,,,,2.6,7.5
8.4,5,5.5,7,,,,6.2,7.75
5.4,6.75,6.5,6.5,,,,4.6,8.75
5.2,5.75,5,6.5,,,,2.8,8
3.4,2.25,4,3.5,,,,,
5,2.25,7,6.5,,,,,
5,6.75,7.5,7.75,,,,3.8,9.25
4.8,6.5,6,6.5,,,,2.6,7.5
4.6,6.25,5.75,5.75,,,,,
4.2,5.75,6,5.25,,,,,
7,7.75,9.25,9,,,,6,9
6.8,5.5,7.5,6.5,,,,3.6,9
3.2,3.75,4.25,6.75,,,,,
7.6,7.5,7,6.5,,,,5.4,8.5
7,7.25,6.5,8.25,,,,4.2,9
4.4,5.75,3.75,4.5,,,,,
7.6,7.75,3.75,7.25,,,,6.8,8.25
6.6,6.75,,,6.25,,3.5,5.8,
6.2,7,6.5,6.75,,,,4.6,9.25
8.2,8.5,8.5,7.75,,,,5.2,9
8.6,8,,,5.5,,7.5,5.6,
5.6,8,4.75,4,,,,4,8.25
5,5.5,4,5.75,,,,,
4.8,6,5,6.25,,,,3.2,7.25
6.6,8,9.5,8.25,,,,5.4,9.5
3.2,3,3.5,4.5,,,,,
8.2,6.75,,,6.25,,8.25,5.6,
4.4,4.5,4.5,6.75,,,,3.2,8.25
7.6,7.75,,,7.5,,6.75,3.8,
5.6,6,6.5,6.25,,,,4,7.75
7.4,6.75,5.25,6.5,,,,3.6,8.75
6.2,6,4.5,6.5,,,,4.6,8.25
4.2,6.75,6.5,6.5,,,,3.6,6.75
7.8,4,,,5.75,,4.25,4.4,
2,1.75,1.5,3.5,,,,,
5.2,3.5,4,6.75,,,,,
7,7.25,6.5,6.5,,,,7.4,8.75
4.4,6.25,8,5.5,,,,4,9
6,7.5,5.5,8.5,,,,3.2,9.25
7.6,4.75,,,6.5,,4.5,6.6,
2.2,4,7,4.75,,,,,
2,3.75,4,6.25,,,,,
,,,,,,,,
5.4,4.75,5.75,7.5,,,,7.4,8
6.6,7.5,,,4.5,,5.25,9,
2.8,1.5,1.75,4,,,,,
3.4,7.25,4.75,6,,,,2.4,9
4.4,6.75,5.5,5.75,,,,2.2,7
7,8,8.25,7.75,,,,5.8,9.5
2.2,4,2.5,5.25,,,,3.2,7.5
8.4,7.25,,,5.5,,3.5,5.6,
1.8,3.75,4.25,6.5,,,,,
5,4,5.25,5,,,,,
6.6,6.25,,,5.75,,5.25,5.2,
6.4,6,4.5,5.75,,,,3,7
1.4,3.5,3.25,4,,,,,
5.6,5,8,7.5,,,,,
2.2,3.5,5.5,4.5,,,,,
5.2,6.5,7.75,5.75,,,,4.6,8.5
7.6,5.75,,,6.75,,4,4.2,
8.4,6.75,,,8.25,,6,5.2,
7.4,3.75,,,5.5,,4.75,3.8,
2.8,2,3.5,5,,,,,
7.8,6.5,,,6.75,,4.5,7,
4,5.25,4.75,7.25,,,,,
8.4,7.75,,,7,,5.25,4.8,
4.6,6.75,2,5.25,,,,1.2,5.25
7.4,7.75,,,5.75,,4.5,6,
7.8,6.25,,,5.75,,7.25,5.4,
8.4,7.25,,,7.75,,2.75,5,
8,8,,,6.75,,5.25,8.4,
5.2,6.25,8.75,8,,,,,
5.6,5.5,6,5.5,,,,,
4.8,5.25,6.75,5.75,,,,,
4,4.75,,,3.5,,2.75,2.8,
4.4,4,3.75,6,,,,,
3,2.75,3,5.5,,,,,
3.2,3.75,3.25,6.25,,,,,
6.6,8,5.25,5.5,,,,2.4,8.5
7.6,6.75,,,5.25,,5.5,4.2,
5.2,7.75,8.75,7.5,,,,3.8,8.5
5,4.5,2.25,6.75,,,,,
6,7,5.75,6.25,,,,3.6,8.25
6.2,8.25,8.75,8.25,,,,3,9.5
8.2,8.75,8.25,8.5,,,,7.6,9
5.2,6,5,7.25,,,,5.2,7.75
7.8,7.75,6,7,,,,5,9
7.8,7.5,,,7.75,,7.75,5.6,
3,6.25,3.25,4.75,,,,3,8
6.2,8.75,9,8.5,,,,4.4,9.5
5.4,8.5,8.75,8,,,,5.8,9.75
4.4,7,5.25,7.25,,,,2.8,7.5
7.6,7.75,7.25,8.25,,,,6.2,8.75
5.6,4,3.75,6.25,,,,,
5.2,7.25,4.5,4.5,,,,5.2,6
8.4,7.25,,,6.75,,8,6.8,
4.4,5,6.75,6.75,,,,8.6,8.25
4.4,3.25,4.75,5.75,,,,,
7.6,7.75,,,7,,6,7.6,
7.4,6.5,8.25,8.25,,,,4,8.75
3.6,3,3.5,4.5,,,,,
7.8,8.25,8,8.75,,,,5.6,9
